,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km),MakeAvg,Engine/Cylinders
54268,6,COMPACT,1.6,4.0,AS6,X,7.886435331230284,27.624309392265193,11.627906976744185,127.0,0.34317101657882515,0.4
54270,12,SUV - SMALL,3.5,6.0,AV,X,21.14164904862579,12.57,16.181229773462785,237.0,0.22159697078984808,0.5833333333333334
54274,1,STATION WAGON - SMALL,4.0,6.0,AV7,X,35.14107764367285,6.920415224913495,6.578947368421052,106.0,0.3734598273946921,0.6666666666666666
54276,5,COMPACT,2.0,4.0,M6,X,4.878048780487806,17.25,7.2,212.0,0.18105332461859827,0.5
54277,15,COMPACT,2.0,4.0,M6,Z,11.235955056179774,18.81,13.698630136986301,208.0,0.2328061192239942,0.5
54279,10,COMPACT,1.5,4.0,M5,X,5.27,15.384615384615383,7.479431563201197,174.0,0.13075557709860083,0.375
54282,18,COMPACT,3.6,6.0,AS6,X,6.422607578676943,6.422607578676943,6.42,246.0,0.40917622032231027,0.6
54286,15,MID-SIZE,3.0,6.0,AS8,Z,9.55,10.090817356205852,9.784735812133071,233.0,0.2328061192239942,0.5
54294,12,MID-SIZE,3.5,6.0,AV7,X,35.32924941151045,5.3,5.847953216374269,210.0,0.22159697078984808,0.5833333333333334
54295,19,MID-SIZE,5.7,8.0,M6,Z,4.32,7.194244604316546,5.27,307.0,0.11778104235512704,0.7125
54305,12,STATION WAGON - MID-SIZE,3.5,6.0,AV7,X,3.97,7.37,5.0,229.0,0.22159697078984808,0.5833333333333334
54312,10,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,X,3.5816618911174785,29.349785031892118,20.0638147456847,388.0,0.13075557709860083,0.575
54320,15,SUBCOMPACT,1.6,4.0,AS8,Z,18.44,7.91,11.494252873563218,196.0,0.2328061192239942,0.4
54324,14,SUV - SMALL,2.4,4.0,A9,X,4.672897196261682,7.462686567164178,5.61,218.0,0.014703742880091549,0.6
54328,15,SUBCOMPACT,4.4,8.0,AS8,Z,27.09673456861521,46.439890849307645,5.27,303.0,0.2328061192239942,0.55
54329,11,STATION WAGON - SMALL,5.7,8.0,AS8,Z,9.37,50.2816336446275,7.692307692307692,449.8268150241382,0.03366713263218451,0.7125
54339,9,SUV - SMALL,3.5,6.0,AS9,Z,5.15,47.61904761904762,8.59106529209622,259.0,0.2613909546434631,0.5833333333333334
54359,20,SUV - STANDARD,3.0,6.0,AS8,D,21.45,8.16,12.376237623762377,255.0,0.07969935719583567,0.5
54361,17,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,25.77319587628866,8.389261744966444,13.34,277.0,1.0,0.5499999999999999
54364,17,COMPACT,2.0,4.0,AS6,X,17.761989342806395,16.39344262295082,17.18213058419244,171.0,1.0,0.5
54365,16,VAN - CARGO,5.3,8.0,A4,E,4.217629692113032,7.680491551459293,5.29,349.0,0.31251434751127427,0.6625
54369,12,TWO-SEATER,3.7,6.0,M6,Z,38.46153846153846,4.21,8.250825082508252,272.0,0.22159697078984808,0.6166666666666667
54372,15,MID-SIZE,3.5,6.0,AM7,Z,4.911591355599215,3.8402457757296466,4.36,394.0,0.2328061192239942,0.5833333333333334
54373,19,MID-SIZE,1.4,4.0,AM6,X,13.831258644536652,20.82,16.29,180.0,0.11778104235512704,0.35
54377,15,COMPACT,3.0,6.0,AS8,Z,7.42,6.662225183211192,7.057163020465773,226.0,0.2328061192239942,0.5
54387,3,MINICOMPACT,1.4,4.0,M5,X,4.184100418410042,7.782101167315175,5.277044854881266,196.0,0.567858610062776,0.35
54389,6,FULL-SIZE,2.4,4.0,AS6,X,12.919896640826874,3.6192544335866814,5.991611743559017,190.0,0.34317101657882515,0.6
54395,18,SUV - SMALL,3.6,6.0,AS8,X,3.56,8.49,26.6733480909806,268.0,0.40917622032231027,0.6
54398,15,COMPACT,3.0,6.0,AM7,Z,41.84469687288755,6.6,7.097232079488999,393.95742054373,0.2328061192239942,0.5
54407,5,SUV - SMALL,2.0,4.0,AS6,Z,4.16,15.15151515151515,6.172839506172839,243.0,0.18105332461859827,0.5
54410,15,SUBCOMPACT,2.0,4.0,AS8,Z,6.38,17.482517482517483,8.928571428571429,215.0,0.2328061192239942,0.5
54412,15,SUBCOMPACT,2.0,4.0,AS8,Z,23.80952380952381,16.949152542372882,20.161290322580644,211.0,0.2328061192239942,0.5
54414,12,TWO-SEATER,3.7,6.0,AS7,Z,5.540166204986149,4.470272686633884,27.661249872128028,271.0,0.22159697078984808,0.6166666666666667
54422,17,SUV - SMALL,2.0,4.0,AS6,X,17.94,20.408163265306122,18.98,220.0,1.0,0.5
54426,16,COMPACT,1.4,4.0,AS6,X,5.288207297726071,5.847953216374269,5.53,184.0,0.31251434751127427,0.35
54428,11,SUV - SMALL,2.0,4.0,AS8,X,3.77,8.91,5.1,208.0,0.03366713263218451,0.5
54432,3,SUV - SMALL,1.3,4.0,A9,X,11.185682326621924,66.2251655629139,17.857142857142858,202.0,0.567858610062776,0.325
54437,15,FULL-SIZE,4.4,8.0,AS8,Z,7.451564828614009,9.42507068803016,8.23,288.0,0.2328061192239942,0.55
54438,16,COMPACT,1.4,4.0,AS6,X,5.747126436781609,11.363636363636363,7.4,179.0,0.31251434751127427,0.35
54440,10,SUV - SMALL,2.5,4.0,AS6,X,3.97,6.765899864682003,4.878048780487805,226.0,0.13075557709860083,0.625
54441,11,SUV - SMALL,4.4,8.0,AS8,X,35.98809059733451,18.64,6.844626967830253,213.0,0.03366713263218451,0.55
54443,17,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,6.03,44.84304932735426,9.881422924901187,313.0,1.0,0.5833333333333334
54444,14,SUV - STANDARD,3.6,6.0,A8,X,10.5,61.07241120207003,8.992805755395684,268.0,0.014703742880091549,0.6
54446,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,7.604562737642586,6.0606060606060606,6.802721088435375,298.0,1.0,0.625
54450,15,SUBCOMPACT,3.0,6.0,AS8,Z,4.694835680751174,42.4569075100422,4.957858205255329,252.0,0.2328061192239942,0.5
54454,16,SUBCOMPACT,6.2,8.0,M6,Z,46.41164274051852,6.92,6.27,621.3928859705189,0.31251434751127427,0.775
54455,6,FULL-SIZE,2.4,4.0,AS6,X,5.924170616113744,6.46,6.1500615006150054,190.0,0.34317101657882515,0.6
54457,18,COMPACT,3.6,6.0,M6,Z,33.07118819745919,17.71156421077609,3.3944331296673456,288.0,0.40917622032231027,0.6
54461,10,COMPACT,1.5,4.0,M6,X,44.20829025496743,14.2,7.63,96.0,0.13075557709860083,0.375
54463,14,SUV - STANDARD,6.4,8.0,A8,Z,5.02008032128514,6.544502617801047,5.61,361.0,0.014703742880091549,0.8
54464,15,COMPACT,4.4,8.0,M6,Z,6.211180124223602,43.50208753523952,5.844535359438924,252.0,0.2328061192239942,0.55
54465,15,COMPACT,2.0,4.0,AS8,Z,7.69,11.79245283018868,9.115770282588878,206.0,0.2328061192239942,0.5
54473,6,SUV - SMALL,3.3,6.0,AS6,X,34.51918894030045,8.090614886731393,5.470459518599562,275.0,0.34317101657882515,0.5499999999999999
54474,10,MID-SIZE,1.8,4.0,AV,X,26.07,6.58,11.235955056179774,351.7530863774724,0.13075557709860083,0.45
54477,9,SUV - SMALL,3.5,6.0,AS9,Z,14.1,6.289308176100628,9.049773755656108,248.0,0.2613909546434631,0.5833333333333334
54478,1,MID-SIZE,1.5,4.0,AV,X,13.513513513513514,52.63157894736842,20.449897750511248,176.0,0.3734598273946921,0.375
54483,6,FULL-SIZE,3.5,6.0,A8,Z,28.46097988543785,7.15,5.885815185403179,329.0,0.34317101657882515,0.5833333333333334
54486,6,MID-SIZE,2.0,4.0,AM6,X,8.389261744966444,11.92,9.68054211035818,118.0,0.34317101657882515,0.5
54491,15,FULL-SIZE,3.0,6.0,AS8,Z,25.839793281653748,7.1890726096333575,11.904761904761905,261.0,0.2328061192239942,0.5
54495,10,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,7.315288953913679,12.08,8.89,285.0,0.13075557709860083,0.675
54503,15,SUBCOMPACT,4.4,8.0,AM7,Z,5.672149744753262,4.016064257028112,4.78,643.9006630838321,0.2328061192239942,0.55
54504,17,SUV - STANDARD,3.5,6.0,AS6,E,43.24785455613747,7.43,6.172839506172839,299.0,1.0,0.5833333333333334
54507,12,STATION WAGON - SMALL,1.6,4.0,M6,X,2.41,5.05,3.15,166.0,0.22159697078984808,0.4
54522,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,4.201680672268908,20.833333333333336,6.5659881812212735,339.0,1.0,0.625
54529,5,COMPACT,2.0,4.0,M6,X,22.123893805309738,7.374631268436578,11.64,188.0,0.18105332461859827,0.5
54530,17,SUV - STANDARD,3.5,6.0,AS6,X,29.09555205279007,14.22475106685633,5.47945205479452,271.0,1.0,0.5833333333333334
54531,17,SUV - STANDARD,3.5,6.0,AS6,E,6.230529595015576,8.05,6.94,277.0,1.0,0.5833333333333334
54533,15,SUBCOMPACT,3.0,6.0,AS8,Z,12.180267965895249,63.17867105147609,11.82,236.0,0.2328061192239942,0.5
54537,10,SUV - STANDARD,2.0,4.0,AS6,X,7.530120481927711,12.285012285012284,9.12,351.0,0.13075557709860083,0.5
54542,10,SUV - STANDARD,2.5,4.0,AS5,X,3.54,13.333333333333334,5.291005291005291,475.8885175321669,0.13075557709860083,0.625
54543,17,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS8,X,4.81,34.50599792722093,5.361930294906166,228.0,1.0,0.5
54547,17,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,8.1,6.77,7.4460163812360385,256.0,1.0,0.5499999999999999
54549,12,MID-SIZE,2.0,4.0,M5,X,6.211180124223602,22.02,9.191176470588236,177.0,0.22159697078984808,0.5
54555,19,FULL-SIZE,6.4,8.0,A8,Z,5.595970900951315,9.02,6.75,305.0,0.11778104235512704,0.8
54557,15,SUBCOMPACT,3.0,6.0,AM7,Z,25.11256871352463,8.849557522123895,4.434589800443459,314.0,0.2328061192239942,0.5
54559,16,VAN - PASSENGER,6.0,8.0,A6,X,24.547606537742297,12.484394506866417,4.65,341.0,0.31251434751127427,0.75
54568,21,TWO-SEATER,5.2,10.0,AM7,Z,4.440497335701599,8.23,5.6,436.0,0.13738198416456834,0.52
54572,14,SUV - SMALL,3.5,6.0,A8,X,9.40733772342427,12.422360248447204,10.559662090813093,265.0,0.014703742880091549,0.5833333333333334
54574,17,SUV - STANDARD,3.5,6.0,AS6,E,4.84,53.23,8.183306055646481,254.0,1.0,0.5833333333333334
54576,4,COMPACT,1.2,3.0,M5,X,6.93000693000693,16.89,9.43,174.0,0.10750999072159767,0.39999999999999997
54584,17,SUV - STANDARD,3.5,6.0,AS6,X,5.5096418732782375,37.993706321361785,5.144032921810699,320.0,1.0,0.5833333333333334
54592,7,STATION WAGON - SMALL,1.6,4.0,AS6,X,8.264462809917356,38.332683626831184,6.238303181534622,212.0,0.3722649650185522,0.4
54594,15,COMPACT,3.0,6.0,AS8,Z,8.64,22.17,11.904761904761905,226.0,0.2328061192239942,0.5
54600,18,SUV - SMALL,3.6,6.0,AS8,X,16.041643208155882,6.61,3.875968992248062,260.0,0.40917622032231027,0.6
54601,4,COMPACT,2.4,4.0,AV6,X,11.428571428571429,67.0,18.18181818181818,226.0,0.10750999072159767,0.6
54604,17,MID-SIZE,2.3,4.0,M6,Z,3.816793893129771,39.26487121687203,4.25,257.0,1.0,0.575
54611,15,SUV - SMALL,2.0,4.0,AS8,Z,14.285714285714286,7.052186177715092,9.77,221.0,0.2328061192239942,0.5
54614,19,MID-SIZE,2.4,4.0,M6,X,3.69,9.65,5.109862033725089,213.0,0.11778104235512704,0.6
54616,21,TWO-SEATER,5.2,10.0,AM7,Z,3.03,21.14164904862579,27.261384865473115,418.0,0.13738198416456834,0.52
54617,11,COMPACT,2.0,4.0,AS8,X,8.8261253309797,7.4,8.130081300813009,219.0,0.03366713263218451,0.5
54618,16,SUBCOMPACT,2.0,4.0,M6,Z,5.14,7.898894154818326,6.1,241.0,0.31251434751127427,0.5
54623,14,SUV - SMALL,6.2,8.0,A8,X,6.49,54.00529736939282,7.64,231.0,0.014703742880091549,0.775
54625,12,STATION WAGON - SMALL,1.6,4.0,AV8,Z,10.83,44.052863436123346,16.39,207.0,0.22159697078984808,0.4
54628,8,MINICOMPACT,2.0,4.0,M6,Z,13.85,37.02279532204891,9.345794392523365,232.0,0.16651708420640168,0.5
54629,8,SUV - SMALL,2.0,4.0,AV,X,2.704895861509332,13.869625520110958,4.2408821034775235,182.0,0.16651708420640168,0.5
54631,14,SUV - SMALL,2.0,4.0,M5,X,13.458950201884253,13.21,13.35113484646195,209.0,0.014703742880091549,0.5
54632,15,SUBCOMPACT,4.4,8.0,AS8,Z,3.4013605442176873,20.833333333333336,5.44,308.0,0.2328061192239942,0.55
54636,19,MID-SIZE,6.4,8.0,A8,Z,3.7,27.07321309763551,23.003998618147286,326.0,0.11778104235512704,0.8
54637,17,SUV - SMALL,1.6,4.0,AS6,X,11.764705882352942,6.0,8.23,208.0,1.0,0.4
54640,12,SPECIAL PURPOSE VEHICLE,2.5,4.0,AV,X,7.855459544383346,42.73504273504274,12.422360248447204,222.0,0.22159697078984808,0.625
54652,7,MID-SIZE,1.8,4.0,A6,X,4.424778761061948,9.615384615384615,5.847953216374269,189.0,0.3722649650185522,0.45
54656,16,PICKUP TRUCK - STANDARD,5.2,10.0,A6,E,3.88,11.494252873563218,5.53,299.0,0.31251434751127427,0.52
54657,16,PICKUP TRUCK - STANDARD,2.0,4.0,A10,Z,4.184100418410042,14.430014430014431,6.15,353.0,0.31251434751127427,0.5
54665,17,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,3.7285607755406414,5.25,23.73316421851801,292.0,1.0,0.5833333333333334
54666,2,SUV - SMALL,2.0,4.0,AS6,X,30.45146127466766,41.66666666666667,6.451612903225806,302.0,0.0,0.5
54670,13,SUV - SMALL,3.5,6.0,AS8,X,3.819709702062643,5.4945054945054945,4.42,252.0,0.4616911152907516,0.5833333333333334
54671,15,MID-SIZE,1.6,4.0,AS8,Z,19.305019305019307,7.35,11.15,293.0,0.2328061192239942,0.4
54673,17,PICKUP TRUCK - STANDARD,3.5,6.0,A6,X,8.29875518672199,44.64285714285714,13.089005235602095,305.0,1.0,0.5833333333333334
54676,13,SUV - SMALL,2.0,4.0,AS6,Z,48.12492962446764,44.052863436123346,13.60544217687075,216.0,0.4616911152907516,0.5
54677,13,MID-SIZE,3.5,6.0,AV8,Z,39.123630672926446,60.98766687570267,5.85,156.0,0.4616911152907516,0.5833333333333334
54687,13,SUBCOMPACT,2.0,4.0,AS8,Z,3.7821482602118,11.47,5.42,302.0,0.4616911152907516,0.5
54690,12,MID-SIZE,3.5,6.0,AV7,Z,9.242144177449168,23.80952380952381,12.75,222.0,0.22159697078984808,0.5833333333333334
54693,12,MID-SIZE,2.0,4.0,AV,X,5.595970900951315,38.31417624521073,9.090909090909092,196.0,0.22159697078984808,0.5
54699,10,SUV - SMALL,2.5,4.0,AS6,X,13.26259946949602,6.1,8.67,216.0,0.13075557709860083,0.625
54701,11,SUV - STANDARD,2.0,4.0,AS8,Z,10.309278350515465,8.94454382826476,9.66183574879227,229.0,0.03366713263218451,0.5
54705,10,COMPACT,3.8,6.0,AV,X,5.571030640668524,2.15,3.24,172.0,0.13075557709860083,0.6333333333333333
54707,16,SUBCOMPACT,6.2,8.0,AS10,Z,13.05,39.52569169960475,18.51851851851852,297.0,0.31251434751127427,0.775
54708,12,MID-SIZE,1.6,4.0,M6,Z,19.34,58.82352941176471,27.70083102493075,183.0,0.22159697078984808,0.4
54710,7,FULL-SIZE,6.2,8.0,M6,X,5.307855626326964,20.408163265306122,7.95,220.0,0.3722649650185522,0.775
54718,8,SUV - SMALL,2.5,4.0,M6,X,7.936507936507937,8.0,7.96812749003984,224.0,0.16651708420640168,0.625
54725,6,MID-SIZE,1.8,4.0,M6,X,6.8259385665529,14.285714285714286,8.94,174.0,0.34317101657882515,0.45
54728,8,MINICOMPACT,2.0,4.0,M6,Z,5.491488193300384,8.52,6.54,240.0,0.16651708420640168,0.5
54729,17,SUV - SMALL,2.5,4.0,AS6,X,22.41596184365477,5.376344086021505,4.562043795620437,218.0,1.0,0.625
54730,15,COMPACT,1.6,4.0,A8,Z,10.615711252653927,17.07,12.8,221.0,0.2328061192239942,0.4
54731,16,PICKUP TRUCK - SMALL,3.6,6.0,A6,X,34.40619650514398,26.78,6.93,273.0,0.31251434751127427,0.6
54732,2,SUV - SMALL,2.2,4.0,AS6,D,36.52,19.522820913151588,7.012622720897616,224.0,0.0,0.55
54734,9,COMPACT,3.5,6.0,AS9,Z,7.93,48.71296639896016,8.305647840531561,220.0,0.2613909546434631,0.5833333333333334
54739,14,SUV - SMALL,3.5,6.0,A6,X,27.061688219973675,58.36059275831483,4.470272686633884,236.0,0.014703742880091549,0.5833333333333334
54741,19,FULL-SIZE,3.6,6.0,A8,X,41.69420857273606,6.325110689437065,5.67,238.0,0.11778104235512704,0.6
54748,14,SUV - SMALL,3.6,6.0,M6,X,7.92,40.33,12.345679012345679,319.0,0.014703742880091549,0.6
54749,1,MID-SIZE,2.4,4.0,AV,X,5.208333333333334,49.912561418924895,6.451612903225806,174.0,0.3734598273946921,0.6
54753,14,SUV - SMALL,3.3,6.0,A9,X,4.07,15.082956259426847,6.067961165048543,228.0,0.014703742880091549,0.5499999999999999
54756,13,MID-SIZE,3.5,6.0,AS6,Z,8.11,58.33,13.245033112582782,251.0,0.4616911152907516,0.5833333333333334
54757,12,SUV - SMALL,3.5,6.0,AV,X,5.112474437627812,8.9126559714795,6.325110689437065,242.0,0.22159697078984808,0.5833333333333334
54759,17,SUV - STANDARD,2.3,4.0,AS6,X,4.25,5.6785917092561045,4.793863854266539,249.0,1.0,0.575
54761,7,FULL-SIZE,1.6,4.0,AS6,X,6.1500615006150054,20.06,8.936550491510278,225.0,0.3722649650185522,0.4
54764,10,COMPACT,1.5,4.0,M5,X,19.56,9.31098696461825,13.157894736842104,172.0,0.13075557709860083,0.375
54766,6,MID-SIZE,2.0,4.0,AS6,X,3.6363636363636362,25.76,5.9171597633136095,214.0,0.34317101657882515,0.5
54769,6,SUV - STANDARD,3.8,6.0,AS8,X,4.82,14.40922190201729,6.89,250.0,0.34317101657882515,0.6333333333333333
54771,7,FULL-SIZE,2.0,4.0,AS6,X,8.849557522123895,68.96551724137932,14.58,200.0,0.3722649650185522,0.5
54782,15,MID-SIZE,4.4,8.0,AM7,Z,17.485579340463158,15.313935681470138,3.5714285714285716,370.0,0.2328061192239942,0.55
54783,18,COMPACT,3.0,6.0,AS10,Z,14.86,40.78623067880102,10.2,235.0,0.40917622032231027,0.5
54796,17,SUV - STANDARD,3.5,6.0,AS6,X,3.717472118959108,13.66,5.5309734513274345,310.0,1.0,0.5833333333333334
54807,16,SUV - STANDARD,3.0,6.0,A6,X,12.13,63.897222080981685,9.803921568627452,374.0,0.31251434751127427,0.5
54812,1,SUV - SMALL,3.5,6.0,A6,X,8.474576271186441,10.857763300760043,9.38,255.0,0.3734598273946921,0.5833333333333334
54813,17,PICKUP TRUCK - STANDARD,2.3,4.0,AS10,X,11.820330969267138,8.382229673093043,9.980039920159681,247.0,1.0,0.575
54823,13,MID-SIZE,4.6,8.0,AS8,Z,11.21,13.831258644536652,12.26,295.0,0.4616911152907516,0.575
54827,14,SUV - SMALL,2.4,4.0,M6,X,7.490636704119851,51.25328526476783,8.196721311475411,208.0,0.014703742880091549,0.6
54831,14,SUV - STANDARD,3.5,6.0,A8,X,28.41393694347845,28.766759008173963,5.1652892561983474,284.0,0.014703742880091549,0.5833333333333334
54832,14,SUV - SMALL,3.2,6.0,A9,X,3.78,12.738853503184714,5.524861878453039,241.0,0.014703742880091549,0.5333333333333333
54843,5,COMPACT,1.8,4.0,A6,X,6.172839506172839,6.07,6.12,201.0,0.18105332461859827,0.45
54847,15,MID-SIZE,3.0,6.0,AS8,Z,6.289308176100628,12.210012210012211,8.05,228.0,0.2328061192239942,0.5
54851,5,COMPACT,2.0,4.0,AM7,Z,5.2631578947368425,12.82051282051282,7.15,224.0,0.18105332461859827,0.5
54858,2,MID-SIZE,2.5,4.0,M6,X,4.719207173194903,4.329004329004329,4.54,195.0,0.0,0.625
54859,12,SPECIAL PURPOSE VEHICLE,1.8,4.0,AV,X,3.795066413662239,15.479876160990711,5.74712643678161,226.0,0.22159697078984808,0.45
54860,10,MINIVAN,3.5,6.0,AS8,X,5.33,32.25806451612903,8.53,276.0,0.13075557709860083,0.5833333333333334
54861,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,10.56,6.756756756756757,8.42,333.0,1.0,0.625
54862,12,STATION WAGON - MID-SIZE,3.5,6.0,AV7,X,7.374631268436578,49.78,11.96,239.0,0.22159697078984808,0.5833333333333334
54866,4,COMPACT,2.0,4.0,M5,Z,2.99,9.99,4.363001745200698,300.0,0.10750999072159767,0.5
54883,7,SUV - SMALL,2.4,4.0,AS6,X,37.751960922419634,10.84,8.19000819000819,220.0,0.3722649650185522,0.6
54884,18,STATION WAGON - SMALL,5.3,8.0,AS6,X,2.87,11.235955056179774,4.32,271.0,0.40917622032231027,0.6625
54889,15,COMPACT,4.4,8.0,M6,Z,8.264462809917356,11.49425287356322,9.47,498.1253438074195,0.2328061192239942,0.55
54895,12,SUV - SMALL,2.5,4.0,AV,X,30.48780487804878,10.787486515641856,16.73,214.0,0.22159697078984808,0.625
54896,14,SUV - SMALL,3.6,6.0,M6,X,8.32,5.2631578947368425,6.578947368421052,317.0,0.014703742880091549,0.6
54901,14,SUV - STANDARD,6.4,8.0,A8,Z,9.514747859181732,8.16326530612245,8.857395925597874,426.0,0.014703742880091549,0.8
54908,10,SUV - STANDARD,2.0,4.0,AS6,X,31.05590062111801,7.37,12.69,285.0,0.13075557709860083,0.5
54911,20,SUV - SMALL,2.0,4.0,AS9,Z,5.449591280653951,19.569471624266143,8.071025020177562,248.0,0.07969935719583567,0.5
54915,15,COMPACT,2.0,4.0,AS8,Z,34.41191204330213,60.18,10.43,195.0,0.2328061192239942,0.5
54919,1,COMPACT,2.5,4.0,AV7,X,10.41,7.71,8.992805755395684,115.0,0.3734598273946921,0.625
54920,14,SUV - SMALL,2.4,4.0,A9,X,39.39846389099868,11.273957158962798,8.54,225.0,0.014703742880091549,0.6
54922,21,TWO-SEATER,6.5,12.0,AM7,Z,15.43,54.066880222369115,9.803921568627452,344.0,0.13738198416456834,0.5416666666666666
54924,15,COMPACT,4.4,8.0,M6,Z,20.0,43.84106484070892,9.140767824497258,323.0,0.2328061192239942,0.55
54925,17,SUV - STANDARD,3.5,6.0,AS6,E,12.1654501216545,38.14,17.54,300.0,1.0,0.5833333333333334
54933,14,SUV - SMALL,2.4,4.0,AV,X,10.82,52.31,16.949152542372882,335.04508355990293,0.014703742880091549,0.6
54934,15,COMPACT,4.4,8.0,AM7,Z,50.95958825556629,7.31,6.7704807041299935,391.0,0.2328061192239942,0.55
54937,16,TWO-SEATER,2.0,4.0,AS8,Z,39.16324918120167,4.69,5.760368663594471,293.0,0.31251434751127427,0.5
54943,18,SUV - SMALL,3.6,6.0,AS8,X,28.954311508844484,6.024096385542169,4.424778761061948,247.0,0.40917622032231027,0.6
54948,14,SUV - SMALL,4.0,8.0,A9,X,4.2105263157894735,61.64,7.246376811594203,216.0,0.014703742880091549,0.5
54952,14,SUV - SMALL,3.6,6.0,A5,X,10.67874782478412,4.555808656036446,2.604166666666667,302.0,0.014703742880091549,0.6
54960,17,FULL-SIZE,3.5,6.0,AS6,E,29.8300028813071,5.847953216374269,4.468275245755139,260.0,1.0,0.5833333333333334
54962,20,SUV - SMALL,3.0,6.0,AS8,Z,4.17,6.540222367560498,4.98,281.0,0.07969935719583567,0.5
54966,16,MID-SIZE,1.5,4.0,A6,X,6.863417982155113,9.372071227741332,7.8,174.0,0.31251434751127427,0.375
54968,15,FULL-SIZE,3.0,6.0,AS8,Z,5.291005291005291,8.333333333333334,6.313131313131313,230.0,0.2328061192239942,0.5
54970,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,3.37,33.3064029072562,23.2392133279443,328.0,1.0,0.625
54973,19,MID-SIZE,3.6,6.0,A8,X,41.60946424636871,62.54131285910409,6.14,237.0,0.11778104235512704,0.6
54978,17,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,43.66812227074236,7.067137809187279,13.106159895150721,298.0,1.0,0.5
54979,14,SUV - SMALL,2.4,4.0,A9,X,2.26,7.479431563201197,3.3003300330033007,218.0,0.014703742880091549,0.6
54983,14,SUV - SMALL,2.4,4.0,M5,X,8.620689655172415,5.417118093174431,6.802721088435375,207.0,0.014703742880091549,0.6
54992,19,MID-SIZE,6.4,8.0,A8,Z,4.0,6.94,4.940711462450594,326.0,0.11778104235512704,0.8
54994,18,COMPACT,2.0,4.0,AS8,Z,29.462777467048582,5.364806866952789,4.29,228.0,0.40917622032231027,0.5
54996,17,SUV - STANDARD,2.0,4.0,AS6,E,26.31578947368421,6.08272506082725,10.559662090813093,282.0,1.0,0.5
55001,9,MID-SIZE,3.5,6.0,AM7,Z,41.54,14.347202295552368,22.42152466367713,174.0,0.2613909546434631,0.5833333333333334
55008,16,COMPACT,6.2,8.0,M6,Z,4.93,4.366812227074235,4.66,390.0,0.31251434751127427,0.775
55009,6,SUV - SMALL,2.0,4.0,AS6,X,4.3,4.38,4.3365134431916745,186.0,0.34317101657882515,0.5
55011,17,SUBCOMPACT,1.6,4.0,M5,X,50.265383483620404,4.930966469428007,6.59,191.0,1.0,0.4
55012,6,FULL-SIZE,2.4,4.0,AS6,X,7.25,60.60606060606061,12.004801920768307,196.0,0.34317101657882515,0.6
55017,15,SUBCOMPACT,3.0,6.0,M6,Z,7.36,6.920415224913495,7.142857142857143,253.0,0.2328061192239942,0.5
55022,17,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,3.0,7.320644216691068,4.09,313.0,1.0,0.625
55024,12,PICKUP TRUCK - SMALL,2.0,4.0,A5,X,8.86,6.82,7.8125,297.0,0.22159697078984808,0.5
55025,16,SPECIAL PURPOSE VEHICLE,2.0,4.0,AV,X,15.77,37.03703703703704,21.24,222.0,0.31251434751127427,0.5
55027,21,TWO-SEATER,6.5,12.0,AM7,Z,7.8125,7.77,7.79,347.0,0.13738198416456834,0.5416666666666666
55028,13,COMPACT,3.5,6.0,AS6,Z,2.2925263640531868,11.325028312570781,3.58,244.0,0.4616911152907516,0.5833333333333334
55029,5,COMPACT,2.0,4.0,M6,X,43.773457493223006,7.315288953913679,7.627765064836003,215.0,0.18105332461859827,0.5
55042,17,MID-SIZE,2.3,4.0,M6,Z,22.541990813715024,71.7,27.543642517229525,247.0,1.0,0.575
55045,13,MID-SIZE,2.0,4.0,AS6,Z,16.181229773462785,72.992700729927,24.93,258.0,0.4616911152907516,0.5
55046,16,FULL-SIZE,3.6,6.0,AS6,X,4.957858205255329,6.596306068601583,5.583472920156337,232.0,0.31251434751127427,0.6
55048,20,SUV - SMALL,3.0,6.0,AS8,Z,3.0012004801920766,7.380073800738007,4.09,278.0,0.07969935719583567,0.5
55051,1,SUV - SMALL,1.5,4.0,AV,X,17.793594306049823,14.084507042253522,15.91,140.0,0.3734598273946921,0.375
55060,19,SUV - SMALL,3.6,6.0,A6,X,8.849557522123895,25.66,12.56,270.0,0.11778104235512704,0.6
55066,1,COMPACT,2.5,4.0,AV,X,5.5,19.801924261170715,3.5549235691432637,174.0,0.3734598273946921,0.625
55071,7,FULL-SIZE,3.3,6.0,A6,X,5.747126436781609,6.180469715698393,5.93,251.0,0.3722649650185522,0.5499999999999999
